"expense_category","household_type","annual_cost","state_name"
"Other","2 Adults (One Working)",3644,"New York"
"Required annual income after taxes","2 Adults (One Working)",33996,"New York"
"Annual taxes","2 Adults (One Working)",5446,"New York"
"Required annual income before taxes","2 Adults (One Working)",39442,"New York"
"Food","2 Adults (One Working) 1 Child",8011,"New York"
"Child Care","2 Adults (One Working) 1 Child",0,"New York"
"Medical","2 Adults (One Working) 1 Child",5859,"New York"
"Housing","2 Adults (One Working) 1 Child",15030,"New York"
"Transportation","2 Adults (One Working) 1 Child",7901,"New York"
"Other","2 Adults (One Working) 1 Child",3987,"New York"
"Required annual income after taxes","2 Adults (One Working) 1 Child",40787,"New York"
"Annual taxes","2 Adults (One Working) 1 Child",6534,"New York"
"Required annual income before taxes","2 Adults (One Working) 1 Child",47321,"New York"
"Food","2 Adults (One Working) 2 Children",10339,"New York"
"Child Care","2 Adults (One Working) 2 Children",0,"New York"
"Medical","2 Adults (One Working) 2 Children",5922,"New York"
"Housing","2 Adults (One Working) 2 Children",15030,"New York"
"Transportation","2 Adults (One Working) 2 Children",9258,"New York"
"Other","2 Adults (One Working) 2 Children",4819,"New York"
"Required annual income after taxes","2 Adults (One Working) 2 Children",45369,"New York"
"Annual taxes","2 Adults (One Working) 2 Children",7268,"New York"
"Required annual income before taxes","2 Adults (One Working) 2 Children",52637,"New York"
"Food","2 Adults (One Working) 3 Children",12583,"New York"
"Child Care","2 Adults (One Working) 3 Children",0,"New York"
"Medical","2 Adults (One Working) 3 Children",5889,"New York"
"Housing","2 Adults (One Working) 3 Children",19381,"New York"
"Transportation","2 Adults (One Working) 3 Children",8845,"New York"
"Other","2 Adults (One Working) 3 Children",4502,"New York"
"Required annual income after taxes","2 Adults (One Working) 3 Children",51200,"New York"
"Annual taxes","2 Adults (One Working) 3 Children",8202,"New York"
"Required annual income before taxes","2 Adults (One Working) 3 Children",59403,"New York"
"Food","2 Adults",6434,"New York"
"Child Care","2 Adults",0,"New York"
"Medical","2 Adults",4654,"New York"
"Housing","2 Adults",12409,"New York"
"Transportation","2 Adults",6855,"New York"
"Other","2 Adults",3644,"New York"
"Required annual income after taxes","2 Adults",33996,"New York"
"Annual taxes","2 Adults",5446,"New York"
"Required annual income before taxes","2 Adults",39442,"New York"
"Food","2 Adults 1 Child",8011,"New York"
"Child Care","2 Adults 1 Child",10176,"New York"
"Medical","2 Adults 1 Child",5859,"New York"
"Housing","2 Adults 1 Child",15030,"New York"
"Transportation","2 Adults 1 Child",7901,"New York"
"Other","2 Adults 1 Child",3987,"New York"
"Required annual income after taxes","2 Adults 1 Child",50963,"New York"
"Annual taxes","2 Adults 1 Child",8164,"New York"
"Required annual income before taxes","2 Adults 1 Child",59128,"New York"
"Food","2 Adults 2 Children",10339,"New York"
"Child Care","2 Adults 2 Children",20250,"New York"
"Medical","2 Adults 2 Children",5922,"New York"
"Housing","2 Adults 2 Children",15030,"New York"
"Transportation","2 Adults 2 Children",9258,"New York"
"Other","2 Adults 2 Children",4819,"New York"
"Required annual income after taxes","2 Adults 2 Children",65618,"New York"
"Annual taxes","2 Adults 2 Children",10512,"New York"
"Required annual income before taxes","2 Adults 2 Children",76130,"New York"
"Food","2 Adults 3 Children",12583,"New York"
"Child Care","2 Adults 3 Children",30324,"New York"
"Medical","2 Adults 3 Children",5889,"New York"
"Housing","2 Adults 3 Children",19381,"New York"
"Transportation","2 Adults 3 Children",8845,"New York"
"Other","2 Adults 3 Children",4502,"New York"
"Required annual income after taxes","2 Adults 3 Children",81524,"New York"
"Annual taxes","2 Adults 3 Children",13060,"New York"
"Required annual income before taxes","2 Adults 3 Children",94584,"New York"
"Food","1 Adult",3022,"North Carolina"
"Child Care","1 Adult",0,"North Carolina"
"Medical","1 Adult",2072,"North Carolina"
"Housing","1 Adult",6630,"North Carolina"
"Transportation","1 Adult",4697,"North Carolina"
"Other","1 Adult",2253,"North Carolina"
"Required annual income after taxes","1 Adult",18673,"North Carolina"
"Annual taxes","1 Adult",3234,"North Carolina"
"Required annual income before taxes","1 Adult",21907,"North Carolina"
"Food","1 Adult 1 Child",4457,"North Carolina"
"Child Care","1 Adult 1 Child",5983,"North Carolina"
"Medical","1 Adult 1 Child",6533,"North Carolina"
"Housing","1 Adult 1 Child",8909,"North Carolina"
"Transportation","1 Adult 1 Child",8554,"North Carolina"
"Other","1 Adult 1 Child",3916,"North Carolina"
"Required annual income after taxes","1 Adult 1 Child",38353,"North Carolina"
"Annual taxes","1 Adult 1 Child",6643,"North Carolina"
"Required annual income before taxes","1 Adult 1 Child",44995,"North Carolina"
"Food","1 Adult 2 Children",6704,"North Carolina"
"Child Care","1 Adult 2 Children",9716,"North Carolina"
"Medical","1 Adult 2 Children",6322,"North Carolina"
"Housing","1 Adult 2 Children",8909,"North Carolina"
"Transportation","1 Adult 2 Children",9859,"North Carolina"
"Other","1 Adult 2 Children",4284,"North Carolina"
"Required annual income after taxes","1 Adult 2 Children",45795,"North Carolina"
"Annual taxes","1 Adult 2 Children",7932,"North Carolina"
"Required annual income before taxes","1 Adult 2 Children",53727,"North Carolina"
"Food","1 Adult 3 Children",8887,"North Carolina"
"Child Care","1 Adult 3 Children",13449,"North Carolina"
"Medical","1 Adult 3 Children",6386,"North Carolina"
"Housing","1 Adult 3 Children",11879,"North Carolina"
"Transportation","1 Adult 3 Children",11553,"North Carolina"
"Other","1 Adult 3 Children",5178,"North Carolina"
"Required annual income after taxes","1 Adult 3 Children",57332,"North Carolina"
"Annual taxes","1 Adult 3 Children",9930,"North Carolina"
"Required annual income before taxes","1 Adult 3 Children",67262,"North Carolina"
"Food","2 Adults (One Working)",5540,"North Carolina"
"Child Care","2 Adults (One Working)",0,"North Carolina"
"Medical","2 Adults (One Working)",4642,"North Carolina"
"Housing","2 Adults (One Working)",7288,"North Carolina"
"Transportation","2 Adults (One Working)",8554,"North Carolina"
"Other","2 Adults (One Working)",3916,"North Carolina"
"Required annual income after taxes","2 Adults (One Working)",29941,"North Carolina"
"Annual taxes","2 Adults (One Working)",5186,"North Carolina"
"Required annual income before taxes","2 Adults (One Working)",35126,"North Carolina"
"Food","2 Adults (One Working) 1 Child",6898,"North Carolina"
"Child Care","2 Adults (One Working) 1 Child",0,"North Carolina"
"Medical","2 Adults (One Working) 1 Child",6322,"North Carolina"
"Housing","2 Adults (One Working) 1 Child",8909,"North Carolina"
"Transportation","2 Adults (One Working) 1 Child",9859,"North Carolina"
"Other","2 Adults (One Working) 1 Child",4284,"North Carolina"
"Required annual income after taxes","2 Adults (One Working) 1 Child",36273,"North Carolina"
"Annual taxes","2 Adults (One Working) 1 Child",6283,"North Carolina"
"Required annual income before taxes","2 Adults (One Working) 1 Child",42556,"North Carolina"
"Food","2 Adults (One Working) 2 Children",8903,"North Carolina"
"Child Care","2 Adults (One Working) 2 Children",0,"North Carolina"
"Medical","2 Adults (One Working) 2 Children",6386,"North Carolina"
"Housing","2 Adults (One Working) 2 Children",8909,"North Carolina"
"Transportation","2 Adults (One Working) 2 Children",11553,"North Carolina"
"Other","2 Adults (One Working) 2 Children",5178,"North Carolina"
"Required annual income after taxes","2 Adults (One Working) 2 Children",40930,"North Carolina"
"Annual taxes","2 Adults (One Working) 2 Children",7089,"North Carolina"
"Required annual income before taxes","2 Adults (One Working) 2 Children",48019,"North Carolina"
"Food","2 Adults (One Working) 3 Children",10835,"North Carolina"
"Child Care","2 Adults (One Working) 3 Children",0,"North Carolina"
"Medical","2 Adults (One Working) 3 Children",6353,"North Carolina"
"Housing","2 Adults (One Working) 3 Children",11879,"North Carolina"
"Transportation","2 Adults (One Working) 3 Children",11037,"North Carolina"
"Other","2 Adults (One Working) 3 Children",4838,"North Carolina"
"Required annual income after taxes","2 Adults (One Working) 3 Children",44943,"North Carolina"
"Annual taxes","2 Adults (One Working) 3 Children",7784,"North Carolina"
"Required annual income before taxes","2 Adults (One Working) 3 Children",52727,"North Carolina"
"Food","2 Adults",5540,"North Carolina"
"Child Care","2 Adults",0,"North Carolina"
"Medical","2 Adults",4642,"North Carolina"
"Housing","2 Adults",7288,"North Carolina"
"Transportation","2 Adults",8554,"North Carolina"
"Other","2 Adults",3916,"North Carolina"
"Required annual income after taxes","2 Adults",29941,"North Carolina"
"Annual taxes","2 Adults",5186,"North Carolina"
"Required annual income before taxes","2 Adults",35126,"North Carolina"
"Food","2 Adults 1 Child",6898,"North Carolina"
"Child Care","2 Adults 1 Child",5983,"North Carolina"
"Medical","2 Adults 1 Child",6322,"North Carolina"
"Housing","2 Adults 1 Child",8909,"North Carolina"
"Transportation","2 Adults 1 Child",9859,"North Carolina"
"Other","2 Adults 1 Child",4284,"North Carolina"
"Required annual income after taxes","2 Adults 1 Child",42256,"North Carolina"
"Annual taxes","2 Adults 1 Child",7319,"North Carolina"
"Required annual income before taxes","2 Adults 1 Child",49575,"North Carolina"
"Food","2 Adults 2 Children",8903,"North Carolina"
"Child Care","2 Adults 2 Children",9716,"North Carolina"
"Medical","2 Adults 2 Children",6386,"North Carolina"
"Housing","2 Adults 2 Children",8909,"North Carolina"
"Transportation","2 Adults 2 Children",11553,"North Carolina"
"Other","2 Adults 2 Children",5178,"North Carolina"
"Required annual income after taxes","2 Adults 2 Children",50645,"North Carolina"
"Annual taxes","2 Adults 2 Children",8772,"North Carolina"
"Required annual income before taxes","2 Adults 2 Children",59417,"North Carolina"
"Food","2 Adults 3 Children",10835,"North Carolina"
"Child Care","2 Adults 3 Children",13449,"North Carolina"
"Medical","2 Adults 3 Children",6353,"North Carolina"
"Housing","2 Adults 3 Children",11879,"North Carolina"
"Transportation","2 Adults 3 Children",11037,"North Carolina"
"Other","2 Adults 3 Children",4838,"North Carolina"
"Required annual income after taxes","2 Adults 3 Children",58391,"North Carolina"
"Annual taxes","2 Adults 3 Children",10113,"North Carolina"
"Required annual income before taxes","2 Adults 3 Children",68505,"North Carolina"
"Food","1 Adult",3087,"North Dakota"
"Child Care","1 Adult",0,"North Dakota"
"Medical","1 Adult",1975,"North Dakota"
"Housing","1 Adult",6296,"North Dakota"
"Transportation","1 Adult",4569,"North Dakota"
"Other","1 Adult",2127,"North Dakota"
"Required annual income after taxes","1 Adult",18054,"North Dakota"
"Annual taxes","1 Adult",2300,"North Dakota"
"Required annual income before taxes","1 Adult",20354,"North Dakota"
"Food","1 Adult 1 Child",4553,"North Dakota"
"Child Care","1 Adult 1 Child",6545,"North Dakota"
"Medical","1 Adult 1 Child",5671,"North Dakota"
"Housing","1 Adult 1 Child",8837,"North Dakota"
"Transportation","1 Adult 1 Child",8320,"North Dakota"
"Other","1 Adult 1 Child",3699,"North Dakota"
"Required annual income after taxes","1 Adult 1 Child",37625,"North Dakota"
"Annual taxes","1 Adult 1 Child",4793,"North Dakota"
"Required annual income before taxes","1 Adult 1 Child",42418,"North Dakota"
"Food","1 Adult 2 Children",6849,"North Dakota"
"Child Care","1 Adult 2 Children",10841,"North Dakota"
"Medical","1 Adult 2 Children",5460,"North Dakota"
"Housing","1 Adult 2 Children",8837,"North Dakota"
"Transportation","1 Adult 2 Children",9589,"North Dakota"
"Other","1 Adult 2 Children",4046,"North Dakota"
"Required annual income after taxes","1 Adult 2 Children",45622,"North Dakota"
"Annual taxes","1 Adult 2 Children",5812,"North Dakota"
"Required annual income before taxes","1 Adult 2 Children",51434,"North Dakota"
"Food","1 Adult 3 Children",9078,"North Dakota"
"Child Care","1 Adult 3 Children",15136,"North Dakota"
"Medical","1 Adult 3 Children",5524,"North Dakota"
"Housing","1 Adult 3 Children",12437,"North Dakota"
"Transportation","1 Adult 3 Children",11236,"North Dakota"
"Other","1 Adult 3 Children",4891,"North Dakota"
"Required annual income after taxes","1 Adult 3 Children",58302,"North Dakota"
"Annual taxes","1 Adult 3 Children",7428,"North Dakota"
"Required annual income before taxes","1 Adult 3 Children",65730,"North Dakota"
"Food","2 Adults (One Working)",5659,"North Dakota"
"Child Care","2 Adults (One Working)",0,"North Dakota"
"Medical","2 Adults (One Working)",4613,"North Dakota"
"Housing","2 Adults (One Working)",6930,"North Dakota"
"Transportation","2 Adults (One Working)",8320,"North Dakota"
"Other","2 Adults (One Working)",3699,"North Dakota"
"Required annual income after taxes","2 Adults (One Working)",29220,"North Dakota"
"Annual taxes","2 Adults (One Working)",3723,"North Dakota"
"Required annual income before taxes","2 Adults (One Working)",32943,"North Dakota"
"Food","2 Adults (One Working) 1 Child",7047,"North Dakota"
"Child Care","2 Adults (One Working) 1 Child",0,"North Dakota"
"Medical","2 Adults (One Working) 1 Child",5460,"North Dakota"
"Housing","2 Adults (One Working) 1 Child",8837,"North Dakota"
"Transportation","2 Adults (One Working) 1 Child",9589,"North Dakota"
"Other","2 Adults (One Working) 1 Child",4046,"North Dakota"
"Required annual income after taxes","2 Adults (One Working) 1 Child",34979,"North Dakota"
"Annual taxes","2 Adults (One Working) 1 Child",4456,"North Dakota"
"Required annual income before taxes","2 Adults (One Working) 1 Child",39435,"North Dakota"
"Food","2 Adults (One Working) 2 Children",9095,"North Dakota"
"Child Care","2 Adults (One Working) 2 Children",0,"North Dakota"
"Medical","2 Adults (One Working) 2 Children",5524,"North Dakota"
"Housing","2 Adults (One Working) 2 Children",8837,"North Dakota"
"Transportation","2 Adults (One Working) 2 Children",11236,"North Dakota"
"Other","2 Adults (One Working) 2 Children",4891,"North Dakota"
"Required annual income after taxes","2 Adults (One Working) 2 Children",39582,"North Dakota"
"Annual taxes","2 Adults (One Working) 2 Children",5043,"North Dakota"
"Required annual income before taxes","2 Adults (One Working) 2 Children",44625,"North Dakota"
"Food","2 Adults (One Working) 3 Children",11068,"North Dakota"
"Child Care","2 Adults (One Working) 3 Children",0,"North Dakota"
"Medical","2 Adults (One Working) 3 Children",5491,"North Dakota"
"Housing","2 Adults (One Working) 3 Children",12437,"North Dakota"
"Transportation","2 Adults (One Working) 3 Children",10735,"North Dakota"
"Other","2 Adults (One Working) 3 Children",4569,"North Dakota"
"Required annual income after taxes","2 Adults (One Working) 3 Children",44300,"North Dakota"
"Annual taxes","2 Adults (One Working) 3 Children",5644,"North Dakota"
"Required annual income before taxes","2 Adults (One Working) 3 Children",49944,"North Dakota"
"Food","2 Adults",5659,"North Dakota"
"Child Care","2 Adults",0,"North Dakota"
"Medical","2 Adults",4613,"North Dakota"
"Housing","2 Adults",6930,"North Dakota"
"Transportation","2 Adults",8320,"North Dakota"
"Other","2 Adults",3699,"North Dakota"
